run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T094033291561,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R04_read_url_routing,False,wrong_tool,missing_tool_call,fetch,clarify,False,False,False,missing tool call fetch; extra tool call clarify
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T095703306187,v1,v1+p5811fdce6c9c+ta74764fdcea7,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T100506174485,v2,v2+p273a58342b75+ta74764fdcea7,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"topic: expected 'news', got 'general'"
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101144700870,v3,v3+p65cf8283d409+ta74764fdcea7,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G01_translate_routing,False,wrong_tool,,translate,translate,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G02_stock_symbol_arg,False,wrong_arg_value,,stock,stock,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G03_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G04_missing_translate_text,False,missing_info,,clarify,clarify,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G05_out_of_scope_medical,False,out_of_scope,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G06_stock_correction,True,wrong_arg_value,,stock,stock,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G07_clarify_then_timeline,True,missing_info,,timeline,timeline,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G08_confirm_send_multiturn,True,wrong_boundary,,clarify,clarify,True,True,True,
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G09_chat_meta_no_tool,True,unnecessary_tool,unexpected_tool_call,no_tool,lookup,False,False,False,expected no tool call
v4_B_group_openrouter_20260729T110127473729,v4,v4+p13ae847d7fa0+t36617c7b4dbf,group,G10_switch_to_calculator,True,wrong_tool,,calculator,calculator,True,True,True,
